family,eps,target,label,n,metric,value,ci_lo,ci_hi
plummer3d,0.02,dQ_early,ΔQ(early),500,ell_star_psi,0.3,,
plummer3d,0.02,dSigr_late,Δσr(late),500,R2_fine_pos,0.12129906933894075,,
plummer3d,0.02,dSigr_late,Δσr(late),500,R2_fine_kin,0.40679050147214213,,
plummer3d,0.02,dSigr_late,Δσr(late),500,R2_bulk,0.5039647547689656,,
plummer3d,0.02,dSigr_late,Δσr(late),500,R2_phi_best,0.1390324612889302,,
plummer3d,0.02,dSigr_late,Δσr(late),500,R2_psi_best,0.607889010125406,,
plummer3d,0.02,dSigr_late,Δσr(late),500,psi_beyond_bulk,0.2015671808194257,0.12399887865437502,0.28414047651621127
plummer3d,0.02,dSigr_late,Δσr(late),500,psi_beyond_phi,0.5277075459950158,0.4367125822677365,0.6121610455195914
plummer3d,0.02,dSigr_late,Δσr(late),500,psi_beyond_kin,0.2782945071183335,0.19842073220646606,0.36117353504239197
plummer3d,0.02,dSigr_late,Δσr(late),500,ell_star_psi,0.14,,
plummer3d,0.02,dBeta_late,Δβ(late),500,R2_fine_pos,0.08539489020033264,,
plummer3d,0.02,dBeta_late,Δβ(late),500,R2_fine_kin,0.06997910553977393,,
plummer3d,0.02,dBeta_late,Δβ(late),500,R2_bulk,0.20693360943669925,,
plummer3d,0.02,dBeta_late,Δβ(late),500,R2_phi_best,0.06515530312292328,,
plummer3d,0.02,dBeta_late,Δβ(late),500,R2_psi_best,0.5677008662794408,,
plummer3d,0.02,dBeta_late,Δβ(late),500,psi_beyond_bulk,0.41411777930896265,0.281672897398945,0.543810605975295
plummer3d,0.02,dBeta_late,Δβ(late),500,psi_beyond_phi,0.5299036691877921,0.4024656574090049,0.6477865176877639
plummer3d,0.02,dBeta_late,Δβ(late),500,psi_beyond_kin,0.5176517233618548,0.3965006104946859,0.6437384916341834
plummer3d,0.02,dBeta_late,Δβ(late),500,ell_star_psi,0.2,,
plummer3d,0.05,dS_late,Δentropy(late),500,R2_fine_pos,0.16048583045582998,,
plummer3d,0.05,dS_late,Δentropy(late),500,R2_fine_kin,0.2855055814410705,,
plummer3d,0.05,dS_late,Δentropy(late),500,R2_bulk,0.6455070685295695,,
plummer3d,0.05,dS_late,Δentropy(late),500,R2_phi_best,0.29089343268850043,,
plummer3d,0.05,dS_late,Δentropy(late),500,R2_psi_best,0.5328160663770798,,
plummer3d,0.05,dS_late,Δentropy(late),500,psi_beyond_bulk,0.0035712614633823803,-0.038849874134343015,0.04366143547182698
plummer3d,0.05,dS_late,Δentropy(late),500,psi_beyond_phi,0.2727021520698897,0.1731825534895229,0.3793777732879825
plummer3d,0.05,dS_late,Δentropy(late),500,psi_beyond_kin,0.28416206209958284,0.15585575221579218,0.4170645475512295
plummer3d,0.05,dS_late,Δentropy(late),500,ell_star_psi,0.14,,
plummer3d,0.05,dS_early,Δentropy(early),500,R2_fine_pos,0.10849807000542955,,
