seed,orig_beta1,orig_Lspec1,orig_C81,orig_Mcen1,rad_beta1,rad_Lspec1,rad_C81,rad_Mcen1,lmatch_beta1,lmatch_Lspec1,lmatch_C81,lmatch_Mcen1,sham_beta1,sham_Lspec1,sham_C81,sham_Mcen1
2032,0.5988682476852241,1.33788129387827,11.791194915771484,0.0185546875,0.7039270684771497,0.9757129916121808,18.999008178710938,0.0517578125,0.6764345237852172,1.0119133900408817,14.6630859375,0.0390625,0.5922375139144553,1.3210052348781,12.828720092773438,0.0185546875
2033,0.5323106161211545,1.2197019031614817,23.624862670898438,0.025390625,0.6772920117035184,0.8935786378232909,28.3740234375,0.029296875,0.5875353438591172,0.9346188316222588,25.56826400756836,0.0234375,0.5543618903559538,1.2200290738810957,23.202880859375,0.0224609375
2035,0.5478986930912236,1.2727878760481561,23.292953491210938,0.0439453125,0.7108225159238092,0.9609336312450549,22.425399780273438,0.0771484375,0.5838442524021661,0.9965867175886081,26.054672241210938,0.0576171875,0.5374610761453054,1.270088171121996,21.285140991210938,0.0361328125
2037,0.5793780580699137,1.290215714472748,21.26046371459961,0.0322265625,0.6874762383480353,0.9639791501603094,34.21792221069336,0.0390625,0.6110182106275908,1.0004279539132686,17.77474594116211,0.033203125,0.561940682060571,1.3040499965908094,18.58510971069336,0.0263671875
2038,0.5416786759747374,1.0725869414706306,29.47894287109375,0.0205078125,0.6765209964728617,0.7922378301844927,23.8662109375,0.0458984375,0.5948306450395553,0.8266858026464005,27.731796264648438,0.025390625,0.5448014947059094,1.0678921611673606,25.166732788085938,0.0107421875
2039,0.524658474433964,1.3897522726347804,22.051631927490234,0.0166015625,0.6914305147444475,1.0212990634820978,23.3623046875,0.041015625,0.611048605011789,1.0674228282916063,24.361141204833984,0.0185546875,0.4965952417912035,1.405295644914332,22.476318359375,0.0205078125
2036,0.4783068241831474,1.2503654999493727,23.441390991210938,0.0146484375,0.6299252323176183,0.9257246546917441,31.40960693359375,0.0166015625,0.5526690459515606,0.9573111997217896,21.71868896484375,0.0224609375,0.47545334861063426,1.2597959256044398,26.011703491210938,0.0185546875
2040,0.542067262439641,1.2403746248761895,21.51748275756836,0.01171875,0.6728686754093867,0.9112573773317362,23.17425537109375,0.0205078125,0.614070827713131,0.9531011446232418,24.005672454833984,0.0146484375,0.5527558674615598,1.2535277204910504,21.302425384521484,0.01171875
2043,0.45102712173471804,1.2581894006018857,39.27581787109375,0.0234375,0.646519174758702,0.9312990544649247,37.255001068115234,0.0478515625,0.5189807139154837,0.9706226068108945,30.137569427490234,0.041015625,0.4271974105575147,1.2643749181449495,36.630001068115234,0.0205078125
2041,0.5633916118881379,1.2993031313553618,20.29561996459961,0.0234375,0.7126157710436258,0.9392071616905053,24.60073471069336,0.044921875,0.6680674549243216,0.9797683387159689,22.998764038085938,0.0146484375,0.5517473250686801,1.2939033730554592,20.645004272460938,0.02734375
2042,0.522487509903323,1.2368343489269507,18.265193939208984,0.0087890625,0.6649357094897278,0.8903156597747103,19.769100189208984,0.0234375,0.6131154020167621,0.9263911521447402,19.01507568359375,0.009765625,0.510612146936662,1.2448879474398322,18.66644287109375,0.0234375
2044,0.5572741570616593,1.1974016820526816,21.88802719116211,0.017578125,0.672590195407478,0.8896162234898166,27.616756439208984,0.0224609375,0.6273686076679132,0.9195818880873274,20.539913177490234,0.017578125,0.5332462134691562,1.239431275104769,25.12240219116211,0.0087890625
