seed,beta0_orig,beta0_int,beta0_sham,beta1_orig,beta1_int,beta1_sham,sigr1_orig,sigr1_int,sigr1_sham,Q0_orig,Q0_int,L0_orig,L0_int
2039,-0.002171553204694421,0.6467769174626687,0.016022448055455718,0.453503134680154,0.6321926154946468,0.4238286835363362,0.5463454244803617,0.6331128336981938,0.5467987266351213,2.078056625728571,2.0780386410967577,0.06923256389170036,0.05310007768421103
2040,0.01702747066529786,0.6573335068275781,-0.011088338202804637,0.49018365713001266,0.6078962131409273,0.5041674752167856,0.5462494323586922,0.5989683516776086,0.5527694880198765,2.0243507079290306,2.024202797916877,0.12355443413585507,0.10120981223887059
2038,0.025095447283456473,0.64196571793466,0.08134607947907047,0.40816856020794456,0.5819859668374812,0.414616155280782,0.5519907812326501,0.609715656068183,0.5422907422638842,1.9301450965413813,1.9300988180904255,0.034224904634851006,0.025039827239326982
2042,0.03389360104818839,0.6627046451499813,0.022812561937394338,0.4746721771153265,0.6145809970379481,0.4540206710760353,0.5411571264019156,0.6010026172668662,0.5357154068530945,2.0442819454530565,2.0441036830599586,0.06618294663957823,0.048717019197718335
2044,0.005273596511732093,0.6444787398063625,0.03060923742153432,0.47669958159708403,0.5945031434796364,0.46452666898655803,0.5444363105852416,0.6110379535868629,0.5487400031871154,2.025867921174383,2.0253419373912784,0.07153431651226484,0.06368175846779998
2043,-0.009958909516502246,0.6499053811553578,-0.021207615688566994,0.40639995364888815,0.5915051850075699,0.38297253329813463,0.5574827735373403,0.6377187446822531,0.5553818060634993,1.9020679686249413,1.9020147297051968,0.1019897674002217,0.08413769089320909
2046,-0.025170546683052963,0.6348559766068957,-0.00786723508735987,0.4273514036939464,0.5893566906129445,0.3840800545686286,0.5452564418740187,0.6076840630246002,0.5367898989192573,1.9348277258092657,1.9346098418628652,0.07206161441933369,0.04968768319090367
2045,-0.027023931864565753,0.6393245162853408,0.005695608218503456,0.4573337027390072,0.628733411492701,0.45248169760509604,0.5266493483724367,0.5736640095468132,0.5086533957051731,2.0689485525165763,2.068762928384418,0.04638100372220622,0.02959600718724397
2049,-0.028343441789986157,0.6322145006514411,-0.07602270943960909,0.44571186399628604,0.6241876327314566,0.4730501463894342,0.5631653570244307,0.636021453293808,0.5599293652069017,2.1072613518734498,2.1071164743084836,0.053934312177903836,0.04502256257348645
2047,-0.007842089618100623,0.6481498483444872,-0.005093332209389567,0.48489011997464115,0.6772049039916879,0.4744145997459026,0.5496165326787962,0.6196268316040822,0.5476212974459151,1.9644255132196071,1.9641550295004355,0.06941570943852858,0.05170427506569293
2050,0.060169014067730786,0.6709518597758932,0.05130090439676582,0.4559380599757542,0.5781633371848346,0.42539916623026774,0.5578070766381565,0.6051165381228338,0.5487885143100092,1.959722816963069,1.9595722897856913,0.07904358699408541,0.07749603101406234
2048,-0.014082600745924712,0.6499086532671666,-0.030734890433443462,0.4964663490053287,0.6291517051156433,0.48643142678098206,0.5593838076398743,0.6189136969179128,0.5612657027241822,2.07708555630249,2.0770491359364143,0.06675289440589756,0.05342467540876238
2052,-0.022360461704892254,0.6363804148909866,0.03234784939954016,0.41292989916123934,0.6002062440124689,0.46672051248425495,0.5587616563728498,0.6204019105927688,0.5754169321007636,2.0081805003443605,2.007984577453854,0.04029964784439367,0.02512110891745117
2051,0.01930386091626568,0.6526306625871847,0.035475279557001915,0.43920761449220846,0.6168020478493539,0.457690813234122,0.5201204367731835,0.5782870550443504,0.5349576455437132,2.136248310846069,2.1360705565772857,0.06611670333791199,0.06505940355258227
2053,-0.12493000384190278,0.6110448944134106,-0.08184809522528202,0.2580846571030442,0.5044611006149916,0.2930932446876049,0.5483209344416738,0.6185198899050722,0.552017338745261,1.8149136176700218,1.8145455098816496,0.04946391302423862,0.05675433114728981
2054,0.012059388672000626,0.6559736022469795,0.011576955316104143,0.48319887955838525,0.6127205477130121,0.4654980847012514,0.5342620059207377,0.6046180126977152,0.535562848957448,2.043628066272835,2.043551021528513,0.058987949604747195,0.03316987945344013
2055,-0.07445026342724947,0.6240467622109426,-0.08019752832913563,0.4328314900981304,0.5688497285334722,0.4527062782822654,0.5242123611189964,0.5775493145355899,0.5370520582117698,2.0630233906523308,2.062965727598694,0.09816377253083397,0.08028531114271592
